year,High-technology exports (current US$),Fixed broadband subscriptions (per 100 people),"ICT service exports (BoP, current US$)",Secure Internet servers,Households and NPISHs final consumption expenditure (% of GDP),Imports of goods and services (% of GDP),Current health expenditure (% of GDP),"Industrial design applications, resident, by count","Industrial design applications, resident, by count"
2015,22291126586.148148,17.307111659759258,5210453494.445979,65687.83333333333,61.9238094923453,41.176800826165575,7.094979233518519,5069.5,5069.5
2016,23055724292.660378,18.225172636188677,5583400452.767857,144026.50943396226,61.62361556380195,39.86606098546842,7.194370616226415,5701.962264150943,5701.962264150943
2017,23616502666.057693,18.61755997969231,6139972558.406457,416881.3076923077,61.720391830557645,40.65491502128332,7.2707214630769235,5898.346153846154,5898.346153846154
2018,31745045708.733334,20.242575059933333,8197145887.9951,869902.6222222223,60.62878137031219,43.742815803230755,7.091502507777777,7663.933333333333,7663.933333333333
